date,1. open,2. high,3. low,4. close,5. volume
2018-10-16 09:53:00,6.275,6.275,6.27,6.27,22198.0
2018-10-16 09:54:00,6.28,6.28,6.275,6.275,50225.0
2018-10-16 09:55:00,6.275,6.275,6.27,6.27,54850.0
2018-10-16 09:56:00,6.2762,6.2762,6.2703,6.2703,29179.0
2018-10-16 09:57:00,6.275,6.295,6.275,6.295,100478.0
2018-10-16 09:58:00,6.305,6.315,6.305,6.315,27928.0
2018-10-16 09:59:00,6.32,6.32,6.32,6.32,4610.0
2018-10-16 10:00:00,6.32,6.32,6.32,6.32,8070.0
2018-10-16 10:01:00,6.32,6.33,6.32,6.33,11542.0
2018-10-16 10:03:00,6.3367,6.3367,6.3367,6.3367,5781.0
2018-10-16 10:04:00,6.34,6.34,6.34,6.34,12504.0
2018-10-16 10:05:00,6.35,6.35,6.345,6.345,25222.0
2018-10-16 10:06:00,6.3403,6.3403,6.3403,6.3403,8423.0
2018-10-16 10:07:00,6.3429,6.36,6.3429,6.36,41420.0
2018-10-16 10:09:00,6.355,6.355,6.355,6.355,2536.0
2018-10-16 10:10:00,6.35,6.35,6.35,6.35,3833.0
2018-10-16 10:11:00,6.355,6.355,6.355,6.355,12633.0
2018-10-16 10:12:00,6.36,6.36,6.36,6.36,9053.0
2018-10-16 10:13:00,6.36,6.36,6.36,6.36,4021.0
2018-10-16 10:14:00,6.37,6.37,6.36,6.36,14644.0
2018-10-16 10:15:00,6.35,6.35,6.35,6.35,11075.0
2018-10-16 10:16:00,6.355,6.355,6.355,6.355,6649.0
2018-10-16 10:17:00,6.37,6.37,6.365,6.365,14532.0
2018-10-16 10:18:00,6.37,6.37,6.37,6.37,7014.0
2018-10-16 10:19:00,6.365,6.365,6.365,6.365,5013.0
2018-10-16 10:20:00,6.37,6.37,6.37,6.37,4805.0
2018-10-16 10:21:00,6.365,6.365,6.365,6.365,2399.0
2018-10-16 10:22:00,6.37,6.37,6.37,6.37,2710.0
2018-10-16 10:23:00,6.365,6.365,6.365,6.365,2941.0
2018-10-16 10:24:00,6.37,6.37,6.37,6.37,8064.0
2018-10-16 10:25:00,6.365,6.365,6.365,6.365,2888.0
2018-10-16 10:26:00,6.365,6.365,6.365,6.365,4820.0
2018-10-16 10:27:00,6.365,6.365,6.365,6.365,3399.0
2018-10-16 10:28:00,6.365,6.365,6.365,6.365,2341.0
2018-10-16 10:29:00,6.3671,6.3671,6.365,6.365,9388.0
2018-10-16 10:30:00,6.37,6.37,6.37,6.37,10639.0
2018-10-16 10:31:00,6.37,6.37,6.37,6.37,8033.0
2018-10-16 10:32:00,6.36,6.37,6.36,6.37,9468.0
2018-10-16 10:33:00,6.365,6.365,6.365,6.365,3776.0
2018-10-16 10:34:00,6.365,6.365,6.35,6.35,26190.0
2018-10-16 10:35:00,6.34,6.34,6.34,6.34,3912.0
2018-10-16 10:36:00,6.35,6.35,6.35,6.35,2012.0
2018-10-16 10:37:00,6.345,6.345,6.345,6.345,4405.0
2018-10-16 10:38:00,6.3436,6.3436,6.3436,6.3436,2776.0
2018-10-16 10:39:00,6.345,6.345,6.345,6.345,1796.0
2018-10-16 10:40:00,6.345,6.35,6.345,6.35,19183.0
2018-10-16 10:41:00,6.355,6.36,6.355,6.36,10387.0
2018-10-16 10:42:00,6.36,6.36,6.36,6.36,2217.0
2018-10-16 10:43:00,6.355,6.355,6.355,6.355,3033.0
2018-10-16 10:44:00,6.37,6.37,6.37,6.37,9222.0
2018-10-16 10:45:00,6.37,6.37,6.365,6.37,15511.0
2018-10-16 10:46:00,6.37,6.37,6.37,6.37,8193.0
2018-10-16 10:47:00,6.365,6.365,6.365,6.365,7245.0
2018-10-16 10:48:00,6.37,6.37,6.37,6.37,18892.0
2018-10-16 10:49:00,6.37,6.37,6.37,6.37,9552.0
2018-10-16 10:50:00,6.365,6.365,6.365,6.365,4430.0
2018-10-16 10:51:00,6.365,6.365,6.365,6.365,3788.0
2018-10-16 10:52:00,6.37,6.38,6.37,6.38,42602.0
2018-10-16 10:53:00,6.38,6.38,6.38,6.38,9619.0
2018-10-16 10:54:00,6.38,6.38,6.38,6.38,22056.0
2018-10-16 10:55:00,6.38,6.38,6.38,6.38,2258.0
2018-10-16 10:56:00,6.38,6.38,6.38,6.38,12843.0
2018-10-16 10:57:00,6.39,6.39,6.39,6.39,8664.0
2018-10-16 10:58:00,6.39,6.39,6.39,6.39,16337.0
